Date,Open,High,Low,Close,Adj Close,Volume
2021-07-10,2.188836,2.233774,2.123220,2.123220,2.123220,778517
2021-07-11,2.121106,2.220219,2.121106,2.178374,2.178374,757232
2021-07-12,2.178621,2.215817,2.055539,2.109073,2.109073,1345248
2021-07-13,2.108916,2.124319,2.007591,2.032673,2.032673,1284502
2021-07-14,2.032980,2.074411,1.941858,1.991394,1.991394,2279703
2021-07-15,1.992375,2.036905,1.887122,1.960297,1.960297,2061456
2021-07-16,1.964664,1.997740,1.836233,1.863283,1.863283,2444013
2021-07-17,1.862904,1.949360,1.794974,1.917555,1.917555,1720360
2021-07-18,1.918249,2.016893,1.877207,1.915697,1.915697,802635
2021-07-19,1.909884,1.923073,1.722301,1.729850,1.729850,2381840
2021-07-20,1.719327,1.745585,1.549139,1.659930,1.659930,3564306
2021-07-21,1.659637,1.977964,1.597149,1.826485,1.826485,2396309
2021-07-22,1.826747,1.951880,1.808835,1.846928,1.846928,2180419
2021-07-23,1.847365,1.911872,1.775624,1.911872,1.911872,1802063
2021-07-24,1.914007,1.952732,1.807794,1.939868,1.939868,1844823
2021-07-25,1.940951,1.954717,1.866324,1.938350,1.938350,1201368
2021-07-26,1.942043,2.116074,1.927408,1.968824,1.968824,3154360
2021-07-27,1.966741,2.095577,1.902913,2.011685,2.011685,1128205
2021-07-28,2.011723,2.085766,1.979005,2.006320,2.006320,1712034
2021-07-29,2.017033,2.057936,1.950062,2.019204,2.019204,1312681
2021-07-30,2.028385,2.338943,1.978295,2.338943,2.338943,2926686
2021-07-31,2.353652,2.423316,2.240146,2.301131,2.301131,3035080
2021-08-01,2.296817,2.493043,2.268274,2.312115,2.312115,2237142
2021-08-02,2.308695,3.075613,2.212135,2.849412,2.849412,6266416
2021-08-03,2.839339,3.444599,2.738112,2.945948,2.945948,16066494
2021-08-04,2.959718,3.544760,2.743346,3.424903,3.424903,9989187
2021-08-05,3.427498,3.869800,3.242063,3.792628,3.792628,15854648
2021-08-06,3.767443,4.082764,3.534935,3.629018,3.629018,12026426
2021-08-07,3.618643,3.736216,3.421311,3.555311,3.555311,6142738
2021-08-08,3.561379,3.753375,3.395213,3.487662,3.487662,4414424
2021-08-09,3.497139,3.808063,3.377561,3.652415,3.652415,4653187
2021-08-10,3.658456,4.292628,3.517994,4.143310,4.143310,16013807
2021-08-11,4.159809,4.176422,3.805732,3.868801,3.868801,5989881
2021-08-12,3.876236,3.932658,3.502080,3.885680,3.885680,6143437
2021-08-13,3.855906,4.351672,3.692369,4.341445,4.341445,6929428
2021-08-14,4.337590,4.366947,3.927547,4.119981,4.119981,4922074
2021-08-15,4.162908,4.253517,3.978079,4.076907,4.076907,4872687
2021-08-16,4.086416,4.938448,3.729950,3.730072,3.730072,5698893
2021-08-17,3.729233,4.499104,2.606676,3.313988,3.313988,5095178
2021-08-18,3.290945,5.540547,2.501631,4.136750,4.136750,228783
2021-08-19,4.136290,7.500512,3.884086,4.218234,4.218234,5983308
2021-08-20,4.216737,6.598204,4.133011,4.676106,4.676106,460049
2021-08-21,4.700071,5.182196,4.094003,4.447615,4.447615,99769
2021-08-22,4.447563,4.603525,4.019611,4.182466,4.182466,68786
2021-08-23,4.182922,4.456540,3.726306,3.852403,3.852403,6762127
2021-08-24,3.843659,3.954435,3.441205,3.524846,3.524846,5683289
2021-08-25,3.534621,3.841867,3.471817,3.736298,3.736298,2847342
2021-08-26,3.736208,3.748610,3.250936,3.557172,3.557172,4669352
2021-08-27,3.557302,3.811789,3.434142,3.662732,3.662732,2436021
2021-08-28,3.682349,3.804681,3.547707,3.598717,3.598717,1984339
2021-08-29,3.589911,3.653521,3.373242,3.495893,3.495893,2967603
2021-08-30,3.496348,3.516011,3.241669,3.260517,3.260517,2846729
2021-08-31,3.264738,3.723860,3.178765,3.697282,3.697282,4031089
2021-09-01,3.711659,4.001845,3.612429,3.948226,3.948226,6979069
2021-09-02,3.943132,3.969229,3.681591,3.734086,3.734086,4337267
2021-09-03,3.720498,3.791521,3.579603,3.683277,3.683277,4292266
2021-09-04,3.697029,3.762666,3.536018,3.682716,3.682716,2978649
2021-09-05,3.670335,3.733020,3.563960,3.636162,3.636162,3051856
2021-09-06,3.629389,3.674765,3.462967,3.518949,3.518949,4619348
2021-09-07,3.518332,3.524958,2.500802,3.057395,3.057395,7970112
2021-09-08,3.061368,3.175430,2.714193,2.889846,2.889846,5736627
2021-09-09,2.711629,2.971756,2.630483,2.781768,2.781768,5927937
2021-09-10,2.792125,2.894261,2.334688,2.540884,2.540884,7437353
2021-09-11,2.542764,2.705903,2.452114,2.516452,2.516452,3717713
2021-09-12,2.516708,2.810150,2.464779,2.718538,2.718538,3696222
2021-09-13,2.717889,2.766213,2.404512,2.544169,2.544169,2952940
2021-09-14,2.540260,2.688425,2.453144,2.644649,2.644649,3090661
2021-09-15,2.657509,2.664935,2.391481,2.603239,2.603239,5658202
2021-09-16,2.634445,2.687018,2.475270,2.515867,2.515867,2875519
2021-09-17,2.519176,2.590794,2.430277,2.484559,2.484559,2783720
2021-09-18,2.486666,3.322059,2.416094,3.075463,3.075463,9253670
2021-09-19,3.077469,3.430860,2.822214,2.873747,2.873747,5844200
2021-09-20,2.871001,2.878356,2.453601,2.605848,2.605848,4881458
2021-09-21,2.603560,2.708146,2.325700,2.412671,2.412671,5141283
2021-09-22,2.403948,2.773262,2.393331,2.641941,2.641941,2881469
2021-09-23,2.652354,2.689770,2.441709,2.569476,2.569476,3986165
2021-09-24,2.580064,2.595741,2.243492,2.475555,2.475555,3848031
2021-09-25,2.474658,2.511852,2.132868,2.336163,2.336163,5294058
2021-09-26,2.335211,2.360302,2.204699,2.304397,2.304397,2227580
2021-09-27,2.302949,2.383491,2.171908,2.221394,2.221394,1940327
2021-09-28,2.221904,2.500345,2.092669,2.348006,2.348006,4954237
2021-09-29,2.349658,2.414103,2.153791,2.232493,2.232493,2678721
2021-09-30,2.234287,2.718931,2.201643,2.460456,2.460456,5143069
2021-10-01,2.463680,2.709154,2.372929,2.553827,2.553827,3948203
2021-10-02,2.550802,2.605753,2.446365,2.478336,2.478336,3272428
2021-10-03,2.478335,2.512948,2.317180,2.428790,2.428790,4202136
2021-10-04,2.430866,2.454924,2.266529,2.314765,2.314765,4081512
2021-10-05,2.314837,2.392271,2.177671,2.361016,2.361016,6301422
2021-10-06,2.358796,2.408320,2.161530,2.219138,2.219138,6002389
2021-10-07,2.225880,2.428504,2.140941,2.268876,2.268876,5374872
2021-10-08,2.267216,2.790111,2.215338,2.721447,2.721447,15852608
2021-10-09,2.661766,2.686524,2.374723,2.393399,2.393399,3980563
2021-10-10,2.391773,2.434170,2.305306,2.327245,2.327245,1677447
